problem,dim,algorithm,runs,best,median,mean,std,worst,mean_error,success_rate,median_evals_to_target,mean_evaluations,mean_seconds
sphere_10d,10,CDA (tuned),30,8.39699246863355e-08,2.6921820301458502e-05,0.0009152690495150429,0.0017988147539833757,0.006048358816237257,0.0009152690495150429,0.6333333333333333,23988.0,30000.0,0.011948900066696903
sphere_10d,10,DE,30,9.329069065143686e-27,2.937378800853803e-25,4.606937957206212e-25,4.86787797091772e-25,2.1854397414407554e-24,4.606937957206212e-25,1.0,6350.0,30000.0,0.03744516670003577
sphere_10d,10,GA,30,2.0280709441766032e-07,1.1504339770199772e-05,3.708794803397746e-05,6.074376859764077e-05,0.00029140353137187876,3.708794803397746e-05,0.9,6950.0,30000.0,0.0377218199665549
sphere_10d,10,PSO,30,0.0,0.0,8.9404235925048e-31,1.9733306686649855e-30,1.0255191767873153e-29,8.9404235925048e-31,1.0,4575.0,30000.0,0.02087377453329585
sphere_10d,10,Random,30,4.669619996698238,10.7338740437816,10.393425790745116,2.435127224820686,15.470169669013385,10.393425790745116,0.0,nan,30000.0,0.010983144233220325
sphere_2d,2,CDA,30,6.279567976619175e-12,2.6929703520194392e-09,3.1209984841243895e-08,8.829259938103157e-08,4.3935842646905317e-07,3.1209984841243895e-08,1.0,3604.5,6878.433333333333,0.0017945364999832237
sphere_2d,2,CDA (tuned),30,1.7395321787011881e-06,3.049404345773916e-05,4.561874129338827e-05,4.433729624484777e-05,0.00018432845032293038,4.561874129338827e-05,0.9,7248.0,10000.0,0.0017724240000158412
sphere_2d,2,DE,30,0.0,0.0,0.0,0.0,0.0,0.0,1.0,900.0,10000.0,0.01191622873329834
sphere_2d,2,GA,30,0.0,0.0,4.184250692351271e-07,2.0170275544291464e-06,1.0990726384210327e-05,4.184250692351271e-07,1.0,450.0,10000.0,0.010311479166769761
sphere_2d,2,PSO,30,1.5257989856603766e-24,1.2409317703291292e-21,7.11069933329983e-21,1.833969882960072e-20,9.598287303306912e-20,7.11069933329983e-21,1.0,1300.0,10000.0,0.006167410866661764
sphere_2d,2,Random,30,0.0002385409336157645,0.0032228480299441916,0.003743357551161708,0.003919912615285149,0.021630957023809537,0.003743357551161708,0.0,nan,10000.0,0.0034056539334718157
